transaction_id,amount,customer_age,account_age_days,transactions_24h,avg_transaction_amount,failed_transactions_24h,refund_count_30d,chargeback_count,device_changes_7d,ip_changes_24h,location_change,account_velocity,merchant_category,hour,is_weekend,label
TX106458,545.52,56,645,5,3458.64,1,0,0,0,2,0,0.5,Electronics,16,1,0
TX116971,907.32,26,561,6,3967.07,0,0,0,0,0,0,0.6,Gaming,22,1,0
TX107550,1543.96,47,1216,4,347.27,1,0,1,0,0,0,0.4,Gaming,7,0,0
TX117724,1107.73,54,988,4,498.77,0,1,0,0,1,0,0.4,Gaming,7,0,0
TX117425,227.04,19,338,3,516.27,0,0,0,0,0,1,0.3,Food,6,0,0
TX113553,2347.7,22,1499,4,602.22,0,1,0,0,1,0,0.4,Food,11,0,0
TX114370,530.07,19,1185,5,599.33,0,2,0,1,1,0,0.5,Fashion,16,1,0
TX106541,75.6,61,1398,1,333.01,0,0,0,0,0,0,0.1,Fashion,14,0,0
TX104499,332.22,33,344,5,1420.97,0,0,0,0,0,0,0.5,Fashion,12,0,0
TX107074,2279.93,24,34,4,787.97,0,0,0,0,0,0,0.4,Grocery,1,0,0
TX109666,978.88,62,1580,4,1698.25,1,0,0,2,1,0,0.4,Services,13,0,0
TX115334,138.68,22,1348,3,536.48,0,0,0,1,0,0,0.3,Food,21,1,0
TX110799,3724.95,39,1943,4,951.35,1,0,0,0,0,0,0.4,Gaming,20,0,0
TX100053,2021.66,27,1890,2,282.24,0,2,0,0,0,0,0.2,Services,0,0,0
TX103127,4098.2,42,1931,4,308.09,2,1,1,0,0,0,0.4,Food,16,1,1
TX117068,481.57,54,805,1,611.37,0,1,0,0,0,0,0.1,Travel,21,1,0
TX106938,713.63,25,1404,8,901.47,4,1,0,0,0,0,0.8,Fashion,4,0,0
TX103252,2076.96,45,1544,3,2222.81,1,0,0,0,0,0,0.3,Fashion,15,0,0
TX119079,303.97,22,922,4,645.26,0,1,0,1,0,0,0.4,Food,10,0,0
TX108117,1539.14,50,1930,3,356.19,0,1,0,0,0,0,0.3,Gaming,18,0,0
TX104092,978.99,54,1339,6,392.38,2,2,1,1,0,0,0.6,Travel,1,0,1
TX119634,839.71,59,1672,4,729.01,1,0,0,0,0,0,0.4,Grocery,3,0,0
TX106456,336.3,61,627,2,707.74,0,0,0,1,0,0,0.2,Gaming,18,0,0
TX118518,1057.96,22,883,5,1730.8,1,0,0,0,1,0,0.5,Food,11,0,0
TX112513,2535.58,63,804,4,1145.25,2,0,0,1,0,0,0.4,Travel,9,0,0
TX103893,162.71,61,436,3,577.74,0,0,0,0,1,0,0.3,Gaming,4,0,0
TX112017,529.82,18,1832,1,434.09,0,1,0,0,0,0,0.1,Services,20,1,0
TX117996,501.04,56,556,5,437.0,0,1,0,0,1,0,0.5,Services,6,0,0
TX111473,932.95,46,1040,2,3860.72,0,0,0,0,1,0,0.2,Grocery,8,1,0
TX110423,1082.16,46,1430,4,358.03,2,0,0,0,1,0,0.4,Gaming,17,0,0
TX112314,744.43,25,1091,3,499.11,0,0,0,0,0,0,0.3,Food,23,1,0
TX110517,3914.66,37,384,5,3028.82,0,0,0,1,0,0,0.5,Travel,22,0,0
TX110808,578.16,47,550,10,602.28,1,0,0,0,0,0,1.0,Fashion,0,1,0
TX106606,487.98,54,1979,2,1325.15,0,0,0,0,1,0,0.2,Electronics,4,1,0
TX118794,2885.7,46,925,6,713.41,0,0,0,0,0,0,0.6,Food,4,0,0
TX101582,397.1,38,1955,5,1190.78,1,1,0,0,0,0,0.5,Food,16,1,0
TX104797,156.12,43,1071,6,1285.16,3,0,0,0,1,0,0.6,Food,21,1,0
TX117382,4311.82,44,1235,4,614.15,1,0,0,0,0,0,0.4,Services,14,0,0
TX108202,638.82,35,1209,2,193.53,0,1,0,0,2,0,0.2,Gaming,21,0,0
TX104912,2507.69,39,926,5,687.07,2,0,0,0,1,0,0.5,Grocery,5,1,0
TX100310,882.11,30,1036,5,247.67,1,1,0,0,0,0,0.5,Electronics,8,0,0
TX118687,1013.41,23,688,3,1227.07,0,1,1,0,0,0,0.3,Services,13,0,0
TX106177,326.96,42,136,6,368.08,3,0,1,1,0,0,0.6,Travel,9,0,0
TX102129,2248.88,58,1614,4,556.45,1,0,0,1,0,0,0.4,Fashion,23,1,0
TX102700,1614.55,40,1526,5,1434.31,0,0,0,0,0,0,0.5,Services,0,0,0
TX109151,1383.25,34,1650,4,2685.08,1,1,0,0,1,0,0.4,Services,17,0,0
TX114133,395.45,41,1896,4,2041.41,0,0,0,0,0,0,0.4,Grocery,18,0,0
TX111150,1018.43,31,1948,2,737.65,1,1,1,0,1,0,0.2,Travel,0,1,0
TX118802,320.06,62,445,4,237.43,0,0,0,0,1,0,0.4,Gaming,18,1,0
TX104741,1800.47,63,242,3,259.92,0,0,0,0,2,0,0.3,Gaming,12,1,0
TX105929,1641.35,31,349,3,823.51,1,0,0,0,0,1,0.3,Electronics,20,1,0
TX101117,1035.23,52,256,3,5104.32,1,0,0,1,1,0,0.3,Grocery,11,0,0
TX108543,1086.63,41,1047,9,867.72,2,0,0,0,0,0,0.9,Grocery,4,1,0
TX102905,2322.92,64,1385,2,1360.8,0,0,0,0,2,1,0.2,Grocery,23,0,0
TX119264,639.82,58,1954,4,303.91,1,0,0,0,1,0,0.4,Gaming,6,1,0
TX104283,2901.84,32,876,3,394.33,0,1,0,1,1,0,0.3,Fashion,13,1,0
